"충청북도","75~79",13375,3413,9962
"충청북도","80~84",13665,2871,10794
"충청북도","85세 이상",10592,2053,8539
"충청남도","합계",340741,181544,159197
"충청남도","20세 미만",3409,1660,1749
"충청남도","20~24",23999,11384,12615
"충청남도","25~29",34523,21714,12809
"충청남도","30~34",29871,21041,8830
"충청남도","35~39",22277,16191,6086
"충청남도","40~44",21353,15437,5916
"충청남도","45~49",21465,14409,7056
"충청남도","50~54",25668,16324,9344
"충청남도","55~59",27101,15823,11278
"충청남도","60~64",31877,16891,14986
"충청남도","65~69",25653,11766,13887
"충청남도","70~74",20590,7420,13170
"충청남도","75~79",17599,4628,12971
"충청남도","80~84",18880,3751,15129
"충청남도","85세 이상",16476,3105,13371
"전라북도","합계",284613,137085,147528
"전라북도","20세 미만",2582,1347,1235
"전라북도","20~24",20185,10806,9379
"전라북도","25~29",24560,14184,10376
"전라북도","30~34",19422,12503,6919
"전라북도","35~39",14203,9414,4789
"전라북도","40~44",14931,10059,4872
"전라북도","45~49",17249,11064,6185
"전라북도","50~54",21343,13178,8165
"전라북도","55~59",23030,13032,9998
"전라북도","60~64",27267,13654,13613
"전라북도","65~69",23628,10318,13310
"전라북도","70~74",20877,6991,13886
"전라북도","75~79",18701,4328,14373
"전라북도","80~84",20140,3443,16697
"전라북도","85세 이상",16495,2764,13731
"전라남도","합계",283429,134739,148690
"전라남도","20세 미만",1242,690,552
"전라남도","20~24",9920,5318,4602
"전라남도","25~29",19095,11314,7781
"전라남도","30~34",16104,10816,5288
"전라남도","35~39",12792,8907,3885
"전라남도","40~44",14330,10039,4291
"전라남도","45~49",16507,11059,5448
"전라남도","50~54",21984,14251,7733
"전라남도","55~59",24936,14807,10129
"전라남도","60~64",29188,15587,13601
"전라남도","65~69",24882,11598,13284
"전라남도","70~74",23156,7967,15189
"전라남도","75~79",22904,5136,17768
"전라남도","80~84",25935,4215,21720
"전라남도","85세 이상",20454,3035,17419
"경상북도","합계",430969,212684,218285
"경상북도","20세 미만",3364,1859,1505
"경상북도","20~24",26795,14894,11901
"경상북도","25~29",34709,21703,13006
"경상북도","30~34",29109,20192,8917
"경상북도","35~39",22365,15596,6769
"경상북도","40~44",23684,16194,7490
"경상북도","45~49",25743,16414,9329
"경상북도","50~54",32391,19758,12633
"경상북도","55~59",36095,20410,15685
"경상북도","60~64",44054,22284,21770
"경상북도","65~69",38648,16870,21778
"경상북도","70~74",32753,10993,21760
"경상북도","75~79",26988,6309,20679
"경상북도","80~84",30208,5314,24894
"경상북도","85세 이상",24063,3894,20169
"경상남도","합계",468772,233713,235059
"경상남도","20세 미만",2219,1183,1036
"경상남도","20~24",19214,10353,8861
"경상남도","25~29",35458,21115,14343
"경상남도","30~34",33319,22746,10573
"경상남도","35~39",26532,18427,8105
"경상남도","40~44",29924,20938,8986
"경상남도","45~49",31846,20925,10921
"경상남도","50~54",40628,24741,15887
"경상남도","55~59",41958,23230,18728
"경상남도","60~64",51453,25081,26372
"경상남도","65~69",44261,18771,25490
"경상남도","70~74",34365,11568,22797
"경상남도","75~79",27971,6555,21416
"경상남도","80~84",28044,4781,23263
"경상남도","85세 이상",21580,3299,18281
"제주특별자치도","합계",92172,46304,45868
"제주특별자치도","20세 미만",503,265,238
"제주특별자치도","20~24",3870,1627,2243
"제주특별자치도","25~29",8427,4339,4088
"제주특별자치도","30~34",7503,4457,3046
"제주특별자치도","35~39",6435,3893,2542
"제주특별자치도","40~44",7391,4403,2988
"제주특별자치도","45~49",7987,4796,3191
"제주특별자치도","50~54",9827,5685,4142
"제주특별자치도","55~59",9084,5050,4034
"제주특별자치도","60~64",8981,4570,4411
"제주특별자치도","65~69",7030,3114,3916
"제주특별자치도","70~74",4796,1784,3012
"제주특별자치도","75~79",3811,1072,2739
"제주특별자치도","80~84",3406,743,2663
"제주특별자치도","85세 이상",3121,506,2615
