"행정구역별(시군구)","연령별",2018,2019,2020,2021,2022
"제주특별자치도","30~34",5404,5554,6094,7086,7503
"제주특별자치도","35~39",6121,6231,6418,6602,6435
"제주특별자치도","40~44",6216,6130,6452,7052,7391
"제주특별자치도","45~49",7904,7972,8010,8024,7987
"제주특별자치도","50~54",7619,7850,8682,9458,9827
"제주특별자치도","55~59",7772,7919,8257,8730,9084
"제주특별자치도","60~64",6550,6931,7723,8490,8981
"제주특별자치도","65~69",4209,4584,5350,6327,7030
"제주특별자치도","70~74",3549,3757,4134,4510,4796
"제주특별자치도","75~79",3348,3373,3368,3692,3811
"제주특별자치도","80~84",2662,2684,2798,3147,3406
"제주특별자치도","85세 이상",2254,2434,2533,2881,3121
